usage_atomique,occurrences
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement au nord au rez-de-chaussée,1
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement au nord-ouest au 1er étage composé de une chambre avec cuisine et fond de cuisine,1
portion de bâtiment de 0a.96c en totalité consistant en: l'appartement à l'ouest au second étage composé d'une cuisine et deux chambres,1
avec le galetas au-dessus du dit appartement,1
portion de bâtiment consistant en: les deux tiers de la cave à l'est,1
l'apparteement du second étage,1
les deux tiers à l'ouest du galetas,1
les autres parts sont portées sous art. 1180,1
portion de bâtiment consistant en: le premier sixième de la cave à partir de l'ouest,1
le 1/3 à l'est du premier galetas et 1/3 du nord du second galetas,1
portion de bâtiment consistant en: le second sixième de la cave à partir de l'ouest,1
